cantServidores cantEnlaces costoDelAGM maxPathSize tiempoConsultora1 tiempoConsultora2 
4 6 18 4 33100 33900
4 6 7 3 33100 30500
4 6 15 3 33600 30700
4 6 18 4 33500 31700
4 6 8 3 53600 42700
4 6 0 4 33000 35700
4 6 12 4 32800 30800
4 6 9 4 32900 31600
4 6 5 4 33000 31200
4 6 10 4 33200 34800
4 6 8 3 32900 30500
4 6 6 4 34300 30800
4 6 17 4 32800 30400
4 6 15 4 32900 31200
4 6 13 3 32800 28500
4 6 11 3 32800 30500
4 6 6 4 32800 32200
4 6 18 4 32900 30400
4 6 8 4 33000 31500
4 6 24 3 32900 30500
4 6 10 4 33000 31100
4 6 18 3 32900 28500
4 6 7 4 37600 35200
4 6 10 4 34300 31200
4 6 23 4 32800 30700
4 6 8 4 33000 31300
4 6 4 4 32800 30600
4 6 18 4 33000 32400
4 6 16 4 32900 30700
4 6 2 3 32900 30500
4 6 8 4 32800 31000
4 6 7 4 32800 31100
4 6 13 4 32800 31100
4 6 9 4 34100 30400
4 6 27 4 32800 31100
4 6 9 3 32900 30300
4 6 9 3 32800 28300
4 6 26 3 33500 32700
4 6 20 4 33300 30700
4 6 8 3 34500 28200
4 6 17 4 32900 31200
4 6 8 4 32900 30700
4 6 7 4 32900 31600
4 6 8 4 32900 30900
4 6 18 4 32900 32200
4 6 18 4 32900 31100
4 6 6 4 32900 31300
4 6 12 4 32900 31300
4 6 7 4 33000 31500
4 6 3 4 32900 31200
4 6 4 4 34400 30600
4 6 5 3 33200 28400
4 6 11 3 33300 30400
4 6 10 4 33300 30900
4 6 22 3 32800 30700
4 6 0 4 32900 34700
4 6 27 4 32900 30600
4 6 18 4 32900 30400
4 6 9 3 32900 30600
4 6 10 4 32800 31100
4 6 11 4 32800 30900
4 6 11 4 34700 30600
4 6 11 4 32800 30400
4 6 14 4 32800 31200
4 6 8 4 33000 30400
4 6 24 3 32900 31000
4 6 11 4 32900 32100
4 6 14 3 33300 30600
4 6 16 3 33200 30300
4 6 16 4 32800 31200
4 6 7 4 33000 30400
4 6 15 4 32900 30500
4 6 18 3 36300 30000
4 6 11 4 32900 30500
4 6 13 4 33000 31200
4 6 11 4 32800 31100
4 6 17 4 32900 31000
4 6 14 4 32800 30700
4 6 12 4 32900 30400
4 6 17 3 33200 30300
4 6 17 4 32800 30600
4 6 21 3 32800 30100
4 6 13 3 33200 28500
4 6 17 4 33100 33000
4 6 17 4 32900 30500
4 6 7 4 32800 30800
4 6 13 4 32800 30900
4 6 16 3 33000 30600
4 6 13 4 32900 30400
5 10 23 5 44300 35000
5 10 27 4 41100 33200
5 10 21 5 41200 34700
5 10 11 4 41000 34600
5 10 8 5 40900 37600
5 10 20 5 41000 36000
5 10 47 4 40900 34400
5 10 37 5 41000 33400
5 10 15 5 41200 35700
5 10 30 5 42200 33700
5 10 20 3 39600 31700
5 10 22 5 40800 36000
5 10 18 4 40800 31800
5 10 31 4 40900 32100
5 10 41 5 44900 36200
5 10 18 4 41200 32200
5 10 18 5 40900 36100
5 10 15 4 40800 32800
5 10 2 3 39600 33400
5 10 20 5 40700 33600
5 10 27 4 41800 32900
5 10 20 4 41200 31800
5 10 19 5 40900 36100
5 10 21 4 42100 32700
5 10 21 5 41000 34100
5 10 34 5 40900 33900
5 10 32 5 41100 36200
5 10 9 5 43200 36300
5 10 25 4 44900 33000
5 10 44 4 40900 32300
5 10 6 4 40900 32400
5 10 19 3 39500 31900
5 10 30 5 40900 37600
5 10 31 3 40300 32100
5 10 20 4 41100 32300
5 10 13 4 40900 32800
5 10 16 3 39800 29900
5 10 25 4 41000 34700
5 10 17 5 40900 34300
5 10 13 5 40800 34500
5 10 42 5 40800 34900
5 10 41 5 41200 34100
5 10 10 4 44300 33100
5 10 20 3 39600 30000
5 10 46 5 40800 33800
5 10 44 4 62700 48100
5 10 11 4 41200 35100
5 10 28 5 41500 34200
5 10 8 5 41200 34200
5 10 21 4 41100 33100
5 10 17 5 40800 36700
5 10 19 4 42400 33200
5 10 18 5 40900 34300
5 10 9 3 39800 32000
5 10 20 3 39600 32000
5 10 34 4 40900 32600
5 10 12 4 44400 33300
5 10 20 4 40800 33100
5 10 21 5 40900 36000
5 10 29 4 41900 32100
5 10 26 4 41300 34400
5 10 28 3 39600 32100
5 10 21 4 41200 33000
5 10 11 4 40800 32400
5 10 22 4 40900 33100
5 10 26 4 41100 33200
5 10 16 4 40900 32700
5 10 42 5 40700 36300
5 10 36 4 40900 32800
5 10 24 5 40900 36200
5 10 19 4 44500 32100
5 10 27 4 40900 32500
5 10 14 3 40400 29900
5 10 21 4 40900 33100
5 10 46 4 43300 33200
5 10 14 4 40900 32600
5 10 12 4 41100 32500
5 10 18 5 40800 34100
5 10 34 5 40800 34100
5 10 19 4 40800 33900
5 10 7 4 40800 31900
5 10 18 5 40800 36500
5 10 20 5 40700 34600
5 10 26 4 41100 32500
5 10 41 5 44400 36100
5 10 20 4 40900 32300
5 10 45 5 40800 36700
5 10 19 4 40800 32600
5 10 30 5 40700 35900
5 10 31 4 40900 32800
5 10 9 4 40800 33100
5 10 20 4 40800 32900
5 10 10 4 40800 32700
5 10 8 5 40800 36100
5 10 23 5 40800 34200
5 10 12 5 40900 34000
5 10 14 5 40900 34300
5 10 10 4 40900 34900
5 10 18 5 44800 36100
5 10 28 4 41200 32200
6 15 34 4 47700 34800
6 15 34 5 49500 36200
6 15 30 5 50300 38000
6 15 47 5 49400 36100
6 15 50 4 48200 34500
6 15 37 5 49900 38100
6 15 24 5 49400 39300
6 15 34 4 48000 33900
6 15 34 5 49000 37700
6 15 12 5 48900 37700
6 15 38 5 49100 38300
6 15 34 6 49300 36100
6 15 34 5 48900 35700
