cantServidores cantEnlaces costoDelAGM maxPathSize tiempoConsultora1 tiempoConsultora2 
1 0 0 1 19200 31100
1 0 0 1 16700 25400
1 0 0 1 15300 24500
1 0 0 1 15900 28900
1 0 0 1 19200 30300
1 0 0 1 19300 31100
1 0 0 1 25100 32100
1 0 0 1 18900 31900
1 0 0 1 19300 32100
1 0 0 1 19300 31600
1 0 0 1 19100 30800
1 0 0 1 19600 22800
1 0 0 1 15600 23000
1 0 0 1 19300 25000
1 0 0 1 19300 31200
1 0 0 1 18600 32600
1 0 0 1 16600 24600
1 0 0 1 15700 24100
1 0 0 1 18000 31500
1 0 0 1 18300 31300
1 0 0 1 17400 27700
2 1 1 2 22500 25300
2 1 2 2 28500 39000
2 1 0 2 26000 41400
2 1 3 2 30600 39600
2 1 3 2 25100 34100
2 1 2 2 36900 32100
2 1 0 2 30700 40100
2 1 0 2 31200 41400
2 1 0 2 29300 34200
2 1 3 2 26600 31500
2 1 1 2 25700 44100
2 1 2 2 29800 41300
2 1 2 2 30700 41600
2 1 2 2 30700 41400
2 1 2 2 30800 41500
2 1 2 2 33100 38200
2 1 0 2 21700 32200
2 1 3 2 24800 32300
2 1 1 2 30700 39800
2 1 3 2 28800 32700
2 1 3 2 24600 32500
2 1 3 2 30500 39100
2 1 2 2 27400 33100
2 1 1 2 25500 33200
2 1 2 2 30600 40400
2 1 3 2 30900 41200
2 1 1 2 31600 32900
2 1 2 2 25700 31600
2 1 2 2 25600 41000
2 1 2 2 30000 41200
2 1 0 2 30800 39800
2 1 3 2 27200 32800
2 1 0 2 25300 33500
2 1 0 2 30700 40300
2 1 2 2 30800 41400
2 1 0 2 29700 35500
2 1 2 2 25800 41000
2 1 2 2 25100 39700
2 1 0 2 29900 38400
2 1 2 2 26000 30400
2 1 1 2 25600 40200
2 1 1 2 29800 38900
2 1 0 2 25800 31500
2 1 0 2 26200 41300
2 1 0 2 29800 41300
2 1 3 2 30600 39200
2 1 2 2 23900 33000
2 1 0 2 29300 33600
2 1 2 2 30600 40400
2 1 3 2 30600 41600
2 1 3 2 28300 33100
2 1 1 2 24700 30700
2 1 3 2 26700 49400
2 1 2 2 30500 40000
2 1 2 2 28700 33500
2 1 1 2 24100 31900
2 1 1 2 30900 40000
2 1 0 2 29000 46000
2 1 3 2 25900 48100
2 1 3 2 51400 54800
2 1 2 2 25800 32400
2 1 0 2 25600 49200
2 1 2 2 49500 45700
2 1 3 2 44500 37800
2 1 0 2 25500 32400
2 1 0 2 31000 44200
2 1 3 2 35000 55100
2 1 3 2 19000 23900
2 1 2 2 19300 24400
2 1 3 2 19000 24300
2 1 1 2 19000 24000
2 1 3 2 18900 23900
2 1 0 2 18900 24000
2 1 2 2 19000 23900
2 1 3 2 27800 30700
2 1 0 2 24800 24300
2 1 1 2 19300 24300
2 1 2 2 19000 24200
2 1 0 2 19000 24000
2 1 3 2 19000 24000
2 1 1 2 18900 24300
2 1 0 2 19200 24000
2 1 0 2 19300 26400
2 1 0 2 19000 24000
2 1 2 2 18900 23900
2 1 3 2 19600 24200
2 1 1 2 19200 24200
2 1 3 2 19100 23900
2 1 3 2 18900 28600
2 1 1 2 19000 23900
2 1 2 2 18900 31300
2 1 1 2 19000 24000
2 1 1 2 19500 24200
2 1 0 2 19200 24100
2 1 0 2 19200 23900
2 1 1 2 19000 34900
2 1 0 2 24300 24500
2 1 3 2 19000 23900
2 1 0 2 21400 24400
2 1 2 2 19300 23900
3 2 11 3 26200 27500
3 2 3 3 25800 27100
3 2 14 3 25700 27200
3 2 3 3 25600 26900
3 2 3 3 25600 27200
3 2 10 3 27900 27600
3 2 13 3 26000 27300
3 2 9 3 25800 27000
3 2 4 3 25600 27100
3 2 15 3 26100 27600
3 2 8 3 25900 27300
3 2 8 3 25700 27000
3 2 2 3 32900 27500
3 2 6 3 26000 38600
3 2 3 3 31000 27300
3 2 2 3 25700 26900
3 2 1 3 25700 26900
3 2 10 3 25600 26900
3 2 5 3 29200 27900
3 2 5 3 25900 27500
3 2 4 3 25800 26900
3 2 3 3 25600 27100
3 2 5 3 25700 26900
3 2 10 3 28800 27900
3 2 6 3 26300 26900
3 2 9 3 26100 27200
