cantServidores cantEnlaces costoDelAGM maxPathSize tiempoConsultora1 tiempoConsultora2 
1 0 0 1 19100 31000
1 0 0 1 19200 31700
1 0 0 1 19100 31400
1 0 0 1 18000 24100
1 0 0 1 16600 23100
1 0 0 1 15900 25100
1 0 0 1 19500 31700
1 0 0 1 18900 32200
1 0 0 1 19300 31700
1 0 0 1 17700 28300
1 0 0 1 15800 25400
1 0 0 1 16300 24500
1 0 0 1 28400 31400
1 0 0 1 18900 31300
1 0 0 1 19200 31400
1 0 0 1 17800 23800
1 0 0 1 19200 31700
1 0 0 1 20000 32000
1 0 0 1 19200 31600
1 0 0 1 21800 29500
1 0 0 1 14100 25400
1 0 0 1 14900 23000
1 0 0 1 15900 24900
1 0 0 1 18000 31100
1 0 0 1 18400 29900
2 1 0 2 27300 31600
2 1 1 2 29100 32900
2 1 2 2 30500 39500
2 1 1 2 28300 33200
2 1 1 2 25200 32900
2 1 1 2 30400 40300
2 1 1 2 30500 47200
2 1 3 2 28900 32600
2 1 0 2 24900 31400
2 1 0 2 27800 40700
2 1 1 2 30300 41300
2 1 1 2 30700 43200
2 1 1 2 25400 31200
2 1 2 2 25200 38100
2 1 1 2 29900 41500
2 1 2 2 30700 40900
2 1 1 2 30000 33800
2 1 0 2 27300 30800
2 1 2 2 26700 40800
2 1 0 2 29600 39300
2 1 3 2 24100 30700
2 1 1 2 26100 40800
2 1 2 2 29300 44600
2 1 1 2 24700 31700
2 1 1 2 28000 40600
2 1 1 2 30300 41300
2 1 2 2 30600 41100
2 1 3 2 24100 36200
2 1 0 2 25300 34500
2 1 3 2 30700 39500
2 1 0 2 30600 41300
2 1 2 2 30100 34800
2 1 1 2 24700 30800
2 1 0 2 25500 40700
2 1 0 2 30000 41300
2 1 2 2 30200 35700
2 1 1 2 24100 31300
2 1 3 2 28800 40200
2 1 0 2 58600 33500
2 1 2 2 25500 32400
2 1 1 2 25600 51700
2 1 3 2 46000 32700
2 1 1 2 32800 47900
2 1 3 2 35200 49100
2 1 3 2 43400 47900
2 1 2 2 25700 32400
2 1 0 2 29800 49000
2 1 1 2 37700 49000
2 1 3 2 45900 42800
2 1 0 2 25600 32400
2 1 2 2 25500 49000
2 1 2 2 42400 42400
2 1 2 2 32600 49000
2 1 3 2 50400 36500
2 1 1 2 32300 32600
2 1 3 2 40900 55800
2 1 0 2 35500 24300
2 1 2 2 19000 24200
2 1 0 2 19100 24100
2 1 3 2 19000 23900
2 1 0 2 18900 24400
2 1 3 2 19100 23900
2 1 3 2 19100 23900
2 1 1 2 19000 23900
