fabricas clientes rutas costo cantaristas tiempo 
2 13 105 325 13 48 
2 13 105 180 13 48 
2 13 105 106 13 48 
2 13 105 249 13 48 
3 12 105 167 12 47 
3 12 105 103 12 46 
3 12 105 302 12 46 
3 12 105 277 12 47 
3 12 105 121 12 47 
3 12 105 233 12 46 
3 12 105 217 12 46 
3 12 105 129 12 46 
3 12 105 218 12 47 
3 12 105 208 12 46 
4 11 105 181 11 45 
4 11 105 213 11 46 
4 11 105 120 11 45 
4 11 105 260 11 45 
4 11 105 213 11 45 
4 11 105 198 11 45 
4 11 105 207 11 45 
4 11 105 256 11 46 
4 11 105 112 11 46 
4 11 105 117 11 45 
5 10 105 151 10 44 
5 10 105 211 10 44 
5 10 105 77 10 44 
5 10 105 206 10 44 
5 10 105 110 10 44 
5 10 105 147 10 45 
5 10 105 146 10 43 
5 10 105 132 10 43 
5 10 105 188 10 44 
5 10 105 76 10 44 
6 9 105 68 9 43 
6 9 105 177 9 42 
6 9 105 82 9 42 
6 9 105 136 9 43 
6 9 105 215 9 43 
6 9 105 211 9 42 
6 9 105 143 9 43 
6 9 105 128 9 43 
6 9 105 224 9 42 
6 9 105 104 9 43 
1 15 120 248 15 54 
1 15 120 324 15 53 
1 15 120 341 15 53 
1 15 120 167 15 53 
1 15 120 264 15 53 
1 15 120 358 15 53 
1 15 120 214 15 53 
1 15 120 352 15 53 
1 15 120 259 15 53 
1 15 120 280 15 53 
2 14 120 228 14 52 
2 14 120 311 14 52 
2 14 120 274 14 52 
2 14 120 182 14 52 
2 14 120 190 14 51 
2 14 120 278 14 52 
2 14 120 198 14 52 
2 14 120 193 14 51 
2 14 120 319 14 52 
2 14 120 188 14 52 
3 13 120 255 13 50 
3 13 120 268 13 51 
3 13 120 205 13 51 
3 13 120 190 13 50 
3 13 120 65 13 50 
3 13 120 286 13 51 
3 13 120 189 13 50 
3 13 120 223 13 50 
3 13 120 208 13 50 
3 13 120 236 13 51 
4 12 120 222 12 49 
4 12 120 194 12 49 
4 12 120 210 12 50 
4 12 120 114 12 49 
4 12 120 311 12 49 
4 12 120 291 12 49 
4 12 120 177 12 49 
4 12 120 226 12 48 
4 12 120 227 12 54 
4 12 120 320 12 50 
5 11 120 146 11 48 
5 11 120 181 11 47 
5 11 120 220 11 48 
5 11 120 128 11 48 
5 11 120 148 11 47 
5 11 120 147 11 47 
5 11 120 164 11 47 
5 11 120 176 11 47 
5 11 120 116 11 47 
5 11 120 147 11 50 
6 10 120 237 10 47 
6 10 120 154 10 47 
6 10 120 163 10 47 
6 10 120 194 10 46 
6 10 120 210 10 49 
6 10 120 195 10 59 
6 10 120 159 10 62 
6 10 120 243 10 74 
6 10 120 163 10 48 
6 10 120 157 10 48 
7 9 120 140 9 45 
7 9 120 131 9 45 
7 9 120 162 9 45 
7 9 120 110 9 45 
7 9 120 82 9 45 
7 9 120 126 9 45 
7 9 120 160 9 45 
7 9 120 101 9 45 
7 9 120 183 9 45 
7 9 120 165 9 45 
1 16 136 287 16 57 
1 16 136 285 16 58 
1 16 136 348 16 56 
1 16 136 328 16 57 
1 16 136 570 16 60 
1 16 136 335 16 58 
1 16 136 347 16 56 
1 16 136 249 16 58 
1 16 136 432 16 57 
1 16 136 169 16 58 
2 15 136 406 15 56 
2 15 136 209 15 56 
2 15 136 148 15 56 
2 15 136 281 15 56 
2 15 136 312 15 56 
2 15 136 208 15 56 
2 15 136 338 15 55 
2 15 136 217 15 55 
2 15 136 263 15 55 
2 15 136 273 15 56 
3 14 136 280 14 54 
3 14 136 204 14 55 
3 14 136 235 14 54 
3 14 136 307 14 54 
3 14 136 270 14 55 
3 14 136 237 14 54 
3 14 136 274 14 55 
3 14 136 240 14 55 
3 14 136 325 14 54 
3 14 136 429 14 55 
4 13 136 190 13 52 
4 13 136 400 13 53 
4 13 136 187 13 52 
4 13 136 115 13 53 
4 13 136 258 13 53 
4 13 136 232 13 53 
4 13 136 88 13 53 
4 13 136 235 13 53 
4 13 136 327 13 53 
4 13 136 287 13 55 
5 12 136 331 12 52 
5 12 136 232 12 51 
5 12 136 193 12 51 
5 12 136 360 12 51 
5 12 136 130 12 59 
5 12 136 303 12 238 
5 12 136 272 12 51 
5 12 136 194 12 52 
5 12 136 206 12 52 
5 12 136 179 12 52 
6 11 136 184 11 51 
6 11 136 264 11 50 
6 11 136 171 11 50 
6 11 136 291 11 51 
6 11 136 341 11 50 
6 11 136 191 11 50 
6 11 136 190 11 51 
6 11 136 133 11 50 
6 11 136 286 11 50 
6 11 136 127 11 51 
7 10 136 194 10 49 
7 10 136 201 10 49 
7 10 136 198 10 57 
7 10 136 225 10 49 
7 10 136 260 10 49 
7 10 136 217 10 50 
7 10 136 156 10 49 
7 10 136 303 10 49 
7 10 136 263 10 49 
7 10 136 99 10 50 
1 17 153 268 17 62 
1 17 153 501 17 61 
1 17 153 349 17 60 
1 17 153 389 17 62 
1 17 153 413 17 61 
1 17 153 263 17 62 
1 17 153 399 17 61 
1 17 153 611 17 62 
1 17 153 308 17 62 
1 17 153 378 17 62 
2 16 153 316 16 61 
2 16 153 289 16 60 
2 16 153 271 16 59 
2 16 153 547 16 62 
2 16 153 192 16 60 
2 16 153 409 16 60 
2 16 153 309 16 60 
2 16 153 555 16 60 
2 16 153 394 16 60 
2 16 153 333 16 60 
3 15 153 339 15 58 
3 15 153 281 15 58 
3 15 153 386 15 59 
3 15 153 163 15 59 
3 15 153 185 15 58 
3 15 153 175 15 59 
3 15 153 253 15 59 
3 15 153 518 15 58 
3 15 153 259 15 58 
3 15 153 429 15 58 
4 14 153 232 14 57 
4 14 153 237 14 58 
4 14 153 432 14 57 
4 14 153 391 14 58 
4 14 153 455 14 56 
4 14 153 211 14 58 
4 14 153 335 14 70 
4 14 153 211 14 79 
4 14 153 207 14 76 
4 14 153 311 14 78 
5 13 153 231 13 74 
5 13 153 176 13 76 
5 13 153 221 13 76 
5 13 153 377 13 73 
5 13 153 362 13 74 
5 13 153 273 13 74 
5 13 153 301 13 77 
5 13 153 302 13 77 
5 13 153 293 13 76 
5 13 153 294 13 88 
6 12 153 280 12 71 
6 12 153 192 12 73 
6 12 153 230 12 75 
6 12 153 171 12 71 
6 12 153 231 12 70 
6 12 153 264 12 73 
6 12 153 322 12 71 
6 12 153 163 12 74 
6 12 153 228 12 78 
6 12 153 307 12 61 
7 11 153 155 11 54 
7 11 153 264 11 56 
7 11 153 271 11 55 
7 11 153 244 11 54 
7 11 153 167 11 54 
7 11 153 175 11 55 
7 11 153 211 11 60 
7 11 153 198 11 56 
7 11 153 213 11 56 
7 11 153 192 11 54 
8 10 153 91 10 54 
8 10 153 117 10 52 
8 10 153 165 10 52 
8 10 153 232 10 52 
8 10 153 156 10 52 
8 10 153 227 10 52 
8 10 153 195 10 53 
8 10 153 121 10 52 
8 10 153 321 10 52 
8 10 153 296 10 52 
1 18 171 511 18 67 
1 18 171 333 18 65 
1 18 171 420 18 65 
1 18 171 438 18 65 
1 18 171 566 18 65 
1 18 171 544 18 65 
1 18 171 391 18 66 
1 18 171 411 18 65 
1 18 171 357 18 66 
1 18 171 402 18 65 
2 17 171 381 17 65 
2 17 171 479 17 76 
2 17 171 377 17 66 
2 17 171 356 17 64 
2 17 171 434 17 64 
2 17 171 283 17 64 
2 17 171 479 17 64 
2 17 171 280 17 64 
2 17 171 349 17 64 
2 17 171 346 17 65 
3 16 171 385 16 64 
3 16 171 338 16 73 
3 16 171 305 16 81 
3 16 171 267 16 83 
3 16 171 430 16 84 
3 16 171 351 16 85 
3 16 171 379 16 84 
3 16 171 467 16 85 
3 16 171 184 16 79 
3 16 171 329 16 82 
4 15 171 336 15 63 
4 15 171 215 15 61 
4 15 171 274 15 60 
4 15 171 364 15 62 
4 15 171 349 15 61 
4 15 171 303 15 61 
4 15 171 262 15 61 
4 15 171 291 15 74 
4 15 171 384 15 63 
4 15 171 427 15 61 
5 14 171 360 14 60 
5 14 171 206 14 59 
5 14 171 249 14 60 
5 14 171 311 14 59 
5 14 171 224 14 60 
5 14 171 350 14 59 
5 14 171 181 14 73 
5 14 171 162 14 81 
5 14 171 277 14 65 
5 14 171 323 14 62 
6 13 171 139 13 59 
6 13 171 236 13 58 
6 13 171 276 13 58 
6 13 171 264 13 58 
6 13 171 297 13 58 
6 13 171 83 13 58 
6 13 171 159 13 58 
6 13 171 494 13 58 
6 13 171 217 13 59 
6 13 171 220 13 58 
7 12 171 175 12 57 
7 12 171 372 12 57 
7 12 171 167 12 57 
7 12 171 298 12 57 
