fabricas clientes rutas costo cantaristas tiempo 
5 9 9 808 9 48 
5 9 9 776 9 51 
5 9 9 629 9 50 
5 9 9 802 9 49 
5 9 9 576 9 49 
5 9 9 938 9 56 
5 9 9 818 9 49 
5 9 9 945 9 49 
6 8 8 811 8 47 
6 8 8 696 8 47 
6 8 8 703 8 45 
6 8 8 683 8 41 
6 8 8 1089 8 40 
6 8 8 656 8 45 
6 8 8 870 8 46 
6 8 8 700 8 46 
6 8 8 660 8 46 
6 8 8 627 8 47 
1 14 14 1491 14 53 
1 14 14 1947 14 63 
1 14 14 1549 14 53 
1 14 14 1994 14 58 
1 14 14 1741 14 53 
1 14 14 1544 14 56 
1 14 14 1728 14 54 
1 14 14 2043 14 56 
1 14 14 1640 14 53 
1 14 14 1189 14 44 
2 13 13 1505 13 41 
2 13 13 1334 13 47 
2 13 13 1014 13 44 
2 13 13 1408 13 42 
2 13 13 1619 13 48 
2 13 13 1660 13 50 
2 13 13 1690 13 42 
2 13 13 1440 13 42 
2 13 13 1182 13 42 
2 13 13 1361 13 42 
3 12 12 1306 12 50 
3 12 12 1142 12 48 
3 12 12 1647 12 41 
3 12 12 1162 12 41 
3 12 12 1104 12 42 
3 12 12 1047 12 42 
3 12 12 1746 12 44 
3 12 12 1132 12 49 
3 12 12 1047 12 49 
3 12 12 1552 12 47 
4 11 11 1161 11 48 
4 11 11 1404 11 47 
4 11 11 901 11 49 
4 11 11 1244 11 47 
4 11 11 1113 11 40 
4 11 11 1213 11 41 
4 11 11 1266 11 41 
4 11 11 1378 11 40 
4 11 11 1054 11 41 
4 11 11 1183 11 40 
5 10 10 1137 10 40 
5 10 10 1021 10 40 
5 10 10 919 10 39 
5 10 10 947 10 40 
5 10 10 1064 10 40 
5 10 10 1248 10 40 
5 10 10 1209 10 40 
5 10 10 657 10 39 
5 10 10 1033 10 40 
5 10 10 763 10 39 
6 9 9 961 9 38 
6 9 9 686 9 38 
6 9 9 1107 9 39 
6 9 9 991 9 38 
6 9 9 663 9 39 
6 9 9 1190 9 38 
6 9 9 948 9 39 
6 9 9 693 9 38 
6 9 9 1371 9 39 
6 9 9 999 9 46 
1 15 15 1622 15 53 
1 15 15 1644 15 51 
1 15 15 1923 15 53 
1 15 15 1756 15 52 
1 15 15 1963 15 46 
1 15 15 1616 15 47 
1 15 15 2080 15 46 
1 15 15 1997 15 56 
1 15 15 1794 15 53 
1 15 15 2226 15 52 
2 14 14 1796 14 52 
2 14 14 1624 14 51 
2 14 14 1684 14 50 
2 14 14 1719 14 52 
2 14 14 1666 14 46 
2 14 14 1648 14 46 
2 14 14 1399 14 45 
2 14 14 2250 14 45 
2 14 14 1717 14 46 
2 14 14 1690 14 46 
3 13 13 2043 13 51 
3 13 13 1330 13 50 
3 13 13 1817 13 51 
3 13 13 1830 13 51 
3 13 13 1978 13 51 
3 13 13 2008 13 51 
3 13 13 1854 13 51 
3 13 13 1863 13 45 
3 13 13 2025 13 45 
3 13 13 1767 13 45 
4 12 12 1414 12 44 
4 12 12 1528 12 43 
4 12 12 1354 12 43 
4 12 12 1264 12 43 
4 12 12 1943 12 43 
4 12 12 1370 12 43 
4 12 12 1179 12 43 
4 12 12 1577 12 44 
4 12 12 1047 12 49 
4 12 12 1263 12 50 
5 11 11 1153 11 50 
5 11 11 1717 11 50 
5 11 11 1268 11 50 
5 11 11 866 11 42 
5 11 11 1098 11 42 
5 11 11 1843 11 42 
5 11 11 1168 11 51 
5 11 11 1350 11 51 
5 11 11 1316 11 42 
5 11 11 1201 11 44 
6 10 10 1161 10 47 
6 10 10 1007 10 48 
6 10 10 1393 10 48 
6 10 10 1581 10 49 
6 10 10 1280 10 49 
6 10 10 1207 10 48 
6 10 10 926 10 48 
6 10 10 1207 10 42 
6 10 10 1632 10 42 
6 10 10 1489 10 41 
7 9 9 1042 9 40 
7 9 9 997 9 41 
7 9 9 1435 9 40 
7 9 9 963 9 41 
7 9 9 1049 9 40 
7 9 9 1090 9 40 
7 9 9 1000 9 41 
7 9 9 1193 9 40 
7 9 9 1283 9 40 
7 9 9 1077 9 40 
1 16 16 1469 16 49 
1 16 16 2381 16 50 
1 16 16 2093 16 49 
1 16 16 2847 16 50 
1 16 16 2386 16 50 
1 16 16 2500 16 50 
1 16 16 2101 16 50 
1 16 16 1985 16 49 
1 16 16 2853 16 54 
1 16 16 1835 16 55 
2 15 15 2366 15 53 
2 15 15 2126 15 55 
2 15 15 2285 15 54 
2 15 15 2067 15 54 
2 15 15 2895 15 55 
2 15 15 1962 15 58 
2 15 15 1826 15 55 
2 15 15 2134 15 53 
2 15 15 2182 15 53 
2 15 15 1527 15 54 
3 14 14 1747 14 54 
3 14 14 1975 14 54 
3 14 14 2208 14 53 
3 14 14 2376 14 53 
3 14 14 2421 14 47 
3 14 14 1964 14 49 
3 14 14 1883 14 47 
3 14 14 1823 14 47 
3 14 14 2271 14 48 
3 14 14 1873 14 48 
4 13 13 2191 13 46 
4 13 13 1799 13 46 
4 13 13 1698 13 47 
4 13 13 1625 13 47 
4 13 13 2431 13 45 
4 13 13 1990 13 47 
4 13 13 2110 13 46 
4 13 13 1881 13 47 
4 13 13 2174 13 46 
4 13 13 2083 13 46 
5 12 12 1317 12 46 
5 12 12 1720 12 45 
5 12 12 2063 12 45 
5 12 12 1801 12 45 
5 12 12 1518 12 46 
5 12 12 1434 12 45 
5 12 12 1618 12 45 
5 12 12 1947 12 45 
5 12 12 1563 12 51 
5 12 12 1460 12 52 
6 11 11 1504 11 50 
6 11 11 1305 11 52 
6 11 11 2026 11 51 
6 11 11 1610 11 47 
6 11 11 1262 11 47 
6 11 11 1177 11 53 
6 11 11 1192 11 51 
6 11 11 1648 11 51 
6 11 11 1679 11 51 
6 11 11 1295 11 52 
7 10 10 1387 10 50 
7 10 10 1424 10 50 
7 10 10 1188 10 42 
7 10 10 1496 10 44 
7 10 10 1159 10 42 
7 10 10 1538 10 43 
7 10 10 1637 10 43 
7 10 10 1332 10 43 
7 10 10 1598 10 43 
7 10 10 1482 10 43 
1 17 17 2774 17 54 
1 17 17 3280 17 52 
1 17 17 3008 17 52 
1 17 17 2454 17 52 
1 17 17 3198 17 53 
1 17 17 2257 17 53 
1 17 17 1934 17 53 
1 17 17 2893 17 51 
1 17 17 2685 17 52 
1 17 17 2973 17 52 
2 16 16 3186 16 52 
2 16 16 2148 16 52 
2 16 16 2119 16 54 
2 16 16 2451 16 51 
2 16 16 3327 16 52 
2 16 16 2950 16 53 
2 16 16 2826 16 51 
2 16 16 2847 16 51 
2 16 16 2092 16 52 
2 16 16 2646 16 51 
3 15 15 2783 15 50 
3 15 15 2779 15 50 
3 15 15 2423 15 50 
3 15 15 2675 15 50 
3 15 15 2684 15 50 
3 15 15 2451 15 51 
3 15 15 1898 15 50 
3 15 15 2607 15 50 
3 15 15 2549 15 56 
3 15 15 2361 15 56 
4 14 14 2328 14 55 
