Trabajos,CantEnMaquina,Ticks,Resultado,Caso
226,119,0.098062,1194080103,Random+4
839,418,3.30187,-1741591918,Random+4
881,461,3.85859,257295852,Random
201,109,0.078199,59033193,Random
294,134,0.195576,85245829,Random
942,497,4.36008,274791476,Random+4
457,243,0.569779,131866362,Random+4
496,257,0.830981,151800114,Random+4
641,324,1.47294,180304307,Random
26,10,0.001495,9476627,Random
814,387,2.63607,36913131,Random+4
186,88,0.081985,1474671442,Random+4
887,426,4.0059,268977242,Random
988,476,4.96158,298169678,Random+4
881,415,4.11173,-1840687793,Random+4
302,151,0.208942,86190513,Random+4
151,73,0.040071,45019892,Random+4
774,401,2.69465,317394796,Random+4
438,226,0.788823,974148017,Random+4
485,254,1.08783,1399000413,Random+4
985,512,5.1907,283847689,Random
214,110,0.107039,59219676,Random
169,86,0.063657,50021371,Random
984,522,5.05343,288771269,Random+4
654,346,1.73083,191130806,Random
382,202,0.436422,113294900,Random
876,411,3.57809,1961356436,Random+4
623,311,1.54094,185867560,Random
925,441,4.14889,273216478,Random+4
438,219,0.604917,122244502,Random
112,54,0.028049,32872578,Random
557,273,1.19565,169159340,Random+4
191,95,0.096514,57575548,Random+4
43,22,0.003882,9622292,Random+4
105,56,0.023978,34563150,Random+4
281,141,0.250806,83276250,Random+4
692,322,2.07423,192787956,Random
264,143,0.160081,72704942,Random
922,456,3.93677,-2012086121,Random+4
441,217,0.610938,126631068,Random
751,364,2.3032,225632418,Random+4
322,164,0.332469,96635378,Random+4
765,371,2.5613,-586778213,Random+4
813,415,2.91688,240098106,Random
289,136,0.219022,81351365,Random
106,62,0.024146,31758948,Random
435,217,0.64821,125104820,Random
499,244,0.983764,144640547,Random
277,137,0.254687,83605419,Random
112,55,0.028719,31801147,Random
936,495,4.74902,284145364,Random+4
841,422,3.7255,-1554356943,Random+4
278,43,0.18256,-2147288450,Random+4
592,311,1.42181,174910602,Random+4
815,388,3.71598,136496360,Random+4
82,47,0.014548,-369310727,Random+4
727,374,2.90703,221157871,Random+4
986,492,5.55756,294034533,Random
37,19,0.003044,12448478,Random
11,6,0.000485,2901633,Random
700,331,2.01793,1481870912,Random+4
24,12,0.001268,-1888062136,Random+4
194,101,0.096955,-2020040211,Random+4
635,318,1.94896,-735698295,Random+4
887,443,4.00777,274122441,Random+4
932,461,4.18198,261588963,Random
675,329,1.8904,197364157,Random+4
754,394,3.02206,216153000,Random
661,327,1.85785,206612813,Random+4
967,472,4.93419,-1796530882,Random+4
281,147,0.207542,-1880015396,Random+4
665,348,1.71385,192794325,Random+4
714,359,2.12856,203157978,Random
480,231,0.711993,150974342,Random+4
422,221,0.637547,127961006,Random+4
890,434,3.32684,-922494462,Random+4
200,109,0.101987,-1414484275,Random+4
195,94,0.068071,-1920594970,Random+4
480,235,0.810562,141084980,Random+4
311,150,0.258163,94536354,Random+4
652,321,1.65801,961537015,Random+4
613,316,1.47085,185656150,Random+4
940,467,3.98617,263636333,Random
381,183,0.385877,111265184,Random+4
532,276,0.751794,1814439002,Random+4
369,183,0.291897,111244829,Random+4
195,103,0.088652,63589857,Random+4
342,165,0.36764,102083220,Random+4
502,263,0.697589,-1191874333,Random+4
571,292,1.07468,1428750054,Random+4
626,322,1.4921,190882500,Random+4
65,40,0.009232,22263524,Random+4
838,401,2.81254,246867660,Random
440,215,0.636395,131101103,Random+4
428,228,0.479856,126543104,Random
32,18,0.002345,9649893,Random
339,157,0.314179,100122244,Random+4
19,13,0.000826,5859164,Random+4
331,148,0.328464,103180081,Random+4
201,108,0.10367,61444295,Random+4
333,169,0.383867,96695305,Random+4
279,151,0.176071,83825720,Random+4
593,293,1.26944,167691629,Random
325,175,0.268391,93437372,Random
897,464,3.04071,-221999236,Random+4
331,159,0.266229,95873860,Random
258,120,0.149659,107180454,Random+4
